id,x,y,time
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,18,0
4,1,18,0
4,1,18,0
4,1,18,0
4,1,18,1
4,1,18,1
2,19,19,0
1,1,1,0
3,19,1,0
4,1,17,1
4,1,17,1
4,1,17,1
4,1,17,1
4,1,16,1
4,1,16,1
4,1,16,1
4,1,16,1
4,1,16,1
4,1,16,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,2
4,2,15,2
2,19,19,0
1,1,1,0
3,19,1,0
4,2,15,2
4,2,15,2
4,2,15,2
4,2,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,14,2
4,3,14,3
4,3,14,3
1,1,1,1
3,19,1,1
2,19,19,1
4,3,14,3
4,3,14,3
4,3,13,3
4,3,13,3
4,3,13,3
4,3,13,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,3
4,3,12,4
4,3,12,4
1,1,1,2
2,19,19,2
3,19,1,2
4,3,12,4
4,3,12,4
4,3,12,4
4,3,12,4
4,3,12,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,3,11,4
4,2,11,4
4,2,11,4
4,2,11,5
4,2,11,5
2,19,19,3
1,1,1,3
3,19,1,3
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,11,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,10,5
4,1,9,5
4,1,9,5
4,1,9,5
4,1,9,5
4,1,9,6
4,1,9,6
2,19,19,4
3,19,1,4
1,1,1,4
4,1,9,6
4,1,9,6
4,1,9,6
4,2,9,6
4,2,9,6
4,2,9,6
4,2,9,6
4,2,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,6
4,3,9,7
4,3,9,7
2,19,19,5
3,19,1,5
