id,x,y,time
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,0
2,19,19,1
2,19,19,1
2,19,19,1
2,19,19,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,18,1
2,19,17,1
1,1,1,0
1,1,1,0
2,19,17,1
2,19,17,1
2,19,17,1
2,19,17,1
2,19,17,1
2,19,17,2
2,19,17,2
2,19,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,18,17,2
2,17,17,2
2,17,17,2
1,1,1,1
2,17,17,2
2,17,17,2
2,17,17,2
2,17,17,2
2,17,16,2
2,17,16,3
2,17,16,3
2,17,16,3
2,17,16,3
2,17,16,3
2,17,16,3
2,17,16,3
2,17,16,3
2,17,16,3
2,17,15,3
2,17,15,3
2,17,15,3
2,17,15,3
2,17,15,3
2,16,15,3
1,1,1,2
1,1,1,2
2,16,15,3
2,16,15,3
2,16,15,3
2,16,15,3
2,16,15,3
2,16,15,4
2,16,15,4
2,16,15,4
2,16,15,4
2,16,15,4
2,15,15,4
2,15,15,4
2,15,15,4
2,15,15,4
2,15,15,4
2,15,14,4
2,15,14,4
2,15,14,4
2,15,14,4
2,15,14,4
1,1,1,3
1,1,1,3
2,15,14,4
2,15,14,4
2,15,14,4
2,15,14,4
2,15,14,4
2,15,14,5
2,15,13,5
2,15,13,5
2,15,13,5
2,15,13,5
2,15,13,5
2,16,13,5
2,16,13,5
2,16,13,5
2,16,13,5
2,16,13,5
2,16,13,5
2,16,13,5
2,16,13,5
2,16,13,5
1,1,1,4
2,16,13,5
2,17,13,5
2,19,13,5
2,19,13,5
2,19,13,5
2,19,13,6
2,19,13,6
2,19,13,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,12,6
2,19,11,6
2,19,11,6
1,1,1,5
1,1,1,5
2,19,11,6
2,19,11,6
2,19,11,6
2,19,11,6
2,18,11,6
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,18,11,7
2,17,11,7
2,17,11,7
2,17,11,7
2,17,11,7
2,17,11,7
1,1,1,6
1,1,1,6
2,17,11,7
2,17,11,7
2,17,10,7
2,17,10,7
2,17,10,7
2,17,10,8
2,17,10,8
2,17,10,8
2,17,10,8
2,17,10,8
2,17,10,8
2,17,10,8
2,17,10,8
2,17,9,8
2,17,7,8
2,17,7,8
2,17,7,8
2,17,7,8
2,17,7,8
2,17,7,8
1,1,1,7
1,1,1,7
2,17,7,8
2,17,7,8
2,16,7,8
2,16,7,8
2,16,7,8
2,16,7,9
2,16,7,9
2,16,7,9
2,16,7,9
2,16,7,9
2,16,7,9
2,16,7,9
2,15,7,9
2,15,7,9
2,15,7,9
2,15,7,9
2,15,7,9
2,15,6,9
2,15,6,9
2,15,6,9
1,1,1,8
2,15,6,9
2,15,6,9
2,15,6,9
2,15,6,9
2,15,6,9
2,15,6,10
2,15,6,10
2,15,5,10
2,15,5,10
2,15,5,10
2,15,5,10
2,15,5,10
2,15,5,10
2,16,5,10
2,16,5,10
2,16,5,10
2,16,5,10
2,16,5,10
2,16,5,10
2,16,5,10
1,1,1,9
1,1,1,9
2,16,5,10
2,16,5,10
2,16,5,10
2,17,5,10
2,17,5,10
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,5,11
2,17,4,11
2,17,4,11
2,17,4,11
2,17,4,11
1,1,1,10
1,1,1,10
2,17,4,11
2,17,4,11
2,17,4,11
2,17,4,11
2,17,4,11
2,17,4,12
2,17,3,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,17,1,12
2,16,1,12
2,16,1,12
1,1,1,11
1,1,1,11
2,16,1,12
2,16,1,12
2,16,1,12
2,16,1,12
2,16,1,12
2,16,1,13
2,16,1,13
2,16,1,13
2,15,1,13
2,14,1,13
2,12,1,13
2,10,1,13
2,9,1,13
2,8,1,13
2,6,1,13
2,6,1,13
2,6,1,13
2,6,1,13
2,6,1,13
2,6,1,13
1,1,1,12
1,1,1,12
2,6,1,13
2,6,1,13
2,6,1,13
2,6,1,13
2,6,1,13
2,6,1,14
2,6,1,14
2,6,1,14
2,6,1,14
2,6,1,14
2,6,1,14
2,6,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
1,1,1,13
1,1,1,13
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,14
2,7,1,15
2,7,2,15
2,7,2,15
2,7,2,15
2,7,2,15
2,7,2,15
2,7,3,15
2,7,3,15
2,7,3,15
2,7,4,15
2,7,4,15
2,7,4,15
2,7,4,15
2,7,4,15
2,7,4,15
1,1,1,14
1,1,1,14
2,7,4,15
2,7,4,15
2,7,4,15
2,7,4,15
2,7,4,15
2,7,4,16
2,7,4,16
2,7,4,16
2,7,4,16
2,7,4,16
2,7,4,16
2,7,4,16
2,7,4,16
2,7,4,16
2,7,3,16
2,7,3,16
2,7,3,16
2,7,3,16
2,7,3,16
2,7,3,16
1,1,1,15
2,7,3,16
2,7,3,16
2,7,3,16
2,7,3,16
2,7,3,16
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
1,1,1,16
1,1,1,16
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,17
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,7,3,18
2,6,3,18
2,6,3,18
2,6,3,18
2,6,3,18
2,6,3,18
1,1,1,17
2,6,3,18
2,5,3,18
2,5,3,18
2,5,3,18
2,5,3,18
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,3,19
2,5,4,19
2,5,4,19
2,5,4,19
2,5,4,19
2,5,4,19
1,1,1,18
1,1,1,18
2,5,5,19
2,5,5,19
2,5,5,19
2,5,5,19
2,5,5,19
2,5,6,20
2,5,6,20
2,5,6,20
2,5,6,20
2,5,6,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
1,1,1,19
1,1,1,19
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,5,7,20
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,6,7,21
2,7,7,21
2,7,7,21
2,7,7,21
1,1,1,20
1,1,1,20
2,7,7,21
2,7,7,21
2,7,7,21
2,7,7,21
2,7,7,21
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,7,7,22
2,8,7,22
2,8,7,22
2,8,7,22
2,8,7,22
2,8,7,22
1,1,1,21
2,8,7,22
2,8,7,22
2,8,7,22
2,8,7,22
2,9,7,22
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
1,1,1,22
1,1,1,22
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,23
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
1,1,1,23
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,24
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
1,1,1,24
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,25
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
1,1,1,25
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,26
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
1,1,1,26
1,1,1,26
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,27
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
1,1,1,27
1,1,1,27
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,28
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
1,1,1,28
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,29
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
1,1,1,29
1,1,1,29
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,30
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
1,1,1,30
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,31
2,9,7,32
2,9,7,32
2,9,7,32
2,9,7,32
2,9,7,32
2,9,7,32
2,9,7,32
2,9,7,32
2,8,7,32
2,8,7,32
2,8,7,32
2,8,7,32
2,8,7,32
2,8,7,32
2,7,7,32
1,1,1,31
2,7,7,32
2,7,7,32
2,7,7,32
2,7,7,32
2,7,7,32
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
1,1,1,32
1,1,1,32
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,33
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
1,1,1,33
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,34
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
1,1,1,34
1,1,1,34
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,35
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
2,7,7,36
1,1,1,35
1,1,1,35
2,7,7,36
2,7,7,36
